⭐ Epoch 001/250 (  0.4%) | train loss 0.9726 acc  67.24% | test loss 1.4595 acc  52.31% | best  52.31% | lr 1.0e-03 | time  16.0s                               
⭐ Epoch 002/250 (  0.8%) | train loss 0.6399 acc  78.33% | test loss 0.6594 acc  77.20% | best  77.20% | lr 1.0e-03 | time  14.6s                               
   Epoch 003/250 (  1.2%) | train loss 0.5198 acc  82.03% | test loss 0.8071 acc  71.26% | best  77.20% | lr 1.0e-03 | time  14.8s                               
⭐ Epoch 004/250 (  1.6%) | train loss 0.4575 acc  83.97% | test loss 0.6981 acc  77.86% | best  77.86% | lr 1.0e-03 | time  14.8s                               
⭐ Epoch 005/250 (  2.0%) | train loss 0.4373 acc  84.95% | test loss 0.5860 acc  78.63% | best  78.63% | lr 1.0e-03 | time  14.6s                               
   Epoch 006/250 (  2.4%) | train loss 0.4557 acc  84.32% | test loss 0.6293 acc  77.53% | best  78.63% | lr 1.0e-03 | time  14.5s                               
⭐ Epoch 007/250 (  2.8%) | train loss 0.3972 acc  85.99% | test loss 0.5317 acc  80.40% | best  80.40% | lr 1.0e-03 | time  14.6s                               
⭐ Epoch 008/250 (  3.2%) | train loss 0.3795 acc  86.67% | test loss 0.5315 acc  82.93% | best  82.93% | lr 1.0e-03 | time  14.5s                               
   Epoch 009/250 (  3.6%) | train loss 0.3481 acc  87.88% | test loss 0.5072 acc  81.94% | best  82.93% | lr 1.0e-03 | time  14.4s                               
⭐ Epoch 010/250 (  4.0%) | train loss 0.3434 acc  88.10% | test loss 0.4454 acc  83.37% | best  83.37% | lr 1.0e-03 | time  14.2s                               
   Epoch 011/250 (  4.4%) | train loss 0.3242 acc  88.86% | test loss 0.5380 acc  81.94% | best  83.37% | lr 1.0e-03 | time  14.4s                               
⭐ Epoch 012/250 (  4.8%) | train loss 0.3021 acc  89.26% | test loss 0.3967 acc  86.12% | best  86.12% | lr 1.0e-03 | time  14.2s                               
   Epoch 013/250 (  5.2%) | train loss 0.3047 acc  89.44% | test loss 0.6780 acc  78.96% | best  86.12% | lr 1.0e-03 | time  14.4s                               
   Epoch 014/250 (  5.6%) | train loss 0.2834 acc  90.75% | test loss 0.4390 acc  86.01% | best  86.12% | lr 1.0e-03 | time  14.7s                               
   Epoch 015/250 (  6.0%) | train loss 0.2823 acc  90.50% | test loss 0.4450 acc  85.13% | best  86.12% | lr 1.0e-03 | time  14.5s                               
⭐ Epoch 016/250 (  6.4%) | train loss 0.2841 acc  89.99% | test loss 0.4006 acc  86.45% | best  86.45% | lr 1.0e-03 | time  14.5s                               
